,overall_qual,gr_liv_area,garage_cars,garage_area,total_bsmt_sf,1st_flr_sf,year_built,full_bath,year_remod/add,mas_vnr_area,saleprice
375,6,1671,2.0,484.0,1427.0,1671,1978,2,1986,101.0,200000
376,7,2673,2.0,441.0,1043.0,1539,1980,2,1991,229.0,249000
377,7,1472,2.0,588.0,1372.0,1472,1980,2,1980,225.0,187500
378,6,1707,2.0,479.0,1140.0,1707,1978,2,1998,144.0,184000
379,8,2524,2.0,542.0,2524.0,2524,1981,2,1981,0.0,278000
380,7,1601,2.0,478.0,1271.0,1601,1978,2,1978,206.0,157000
381,7,1370,2.0,479.0,1090.0,1370,1976,2,1976,189.0,152000
382,5,1868,2.0,484.0,780.0,1088,1976,2,1976,44.0,197500
383,7,1884,2.0,581.0,926.0,1016,2003,2,2003,0.0,240900
384,8,1935,2.0,552.0,832.0,832,2009,2,2009,110.0,263435
385,8,1874,2.0,588.0,1058.0,1058,2000,2,2001,0.0,220000
386,8,1811,2.0,565.0,972.0,972,2002,2,2002,0.0,235000
387,5,1621,2.0,478.0,1621.0,1621,1975,2,1975,161.0,213000
388,6,1116,2.0,528.0,1116.0,1116,1974,2,1974,196.0,167900
389,7,1193,2.0,506.0,1176.0,1193,1975,2,1975,0.0,158000
390,6,1350,2.0,478.0,1064.0,1350,1974,2,1974,174.0,165000
391,6,2119,2.0,583.0,689.0,1378,1972,2,1972,333.0,158000
392,5,1792,0.0,0.0,896.0,896,1974,2,1974,0.0,136000
393,5,1002,2.0,902.0,1002.0,1002,1970,1,1970,76.0,148500
394,6,1026,2.0,440.0,1026.0,1026,1969,1,2005,0.0,156000
395,5,1180,2.0,477.0,1180.0,1180,1970,1,1970,0.0,128000
396,5,1050,1.0,336.0,1043.0,1050,1971,1,1971,178.0,143000
397,4,864,2.0,576.0,864.0,864,1970,1,1970,0.0,76500
398,4,864,2.0,660.0,864.0,864,1970,1,1970,0.0,120500
399,4,864,2.0,463.0,864.0,864,1970,1,1970,0.0,124500
400,4,864,2.0,576.0,864.0,864,1971,1,1971,0.0,97000
401,4,864,2.0,576.0,864.0,864,1971,1,2006,0.0,130000
402,6,987,1.0,264.0,483.0,483,1973,1,1973,504.0,111000
403,5,1365,2.0,440.0,765.0,765,1970,1,1970,312.0,125000
404,5,1302,1.0,280.0,630.0,630,1971,2,1971,142.0,112000
405,6,987,1.0,288.0,483.0,483,1972,1,1972,425.0,97000
406,6,987,1.0,264.0,483.0,483,1972,1,2007,510.0,118000
407,5,1302,1.0,264.0,630.0,630,1972,2,1972,268.0,119500
408,6,958,2.0,440.0,958.0,958,1976,2,1976,0.0,143750
409,6,1548,2.0,440.0,804.0,804,1976,2,1976,0.0,146000
410,6,1456,2.0,440.0,855.0,855,1976,2,1976,0.0,148500
411,7,1055,2.0,440.0,1057.0,1055,1975,2,1975,0.0,123000
412,6,1322,2.0,440.0,855.0,855,1974,2,1974,0.0,147000
413,6,1456,2.0,440.0,855.0,855,1977,2,1977,0.0,137900
414,6,1548,2.0,440.0,804.0,804,1978,2,1978,0.0,147000
415,6,1441,2.0,440.0,855.0,855,1978,2,1978,0.0,148500
416,6,1456,2.0,440.0,855.0,855,1978,2,1978,0.0,138000
417,7,836,1.0,345.0,836.0,836,1976,1,1976,0.0,128500
418,5,892,1.0,288.0,892.0,892,1967,1,1967,60.0,100000
419,5,1120,2.0,656.0,864.0,1120,1966,1,2004,165.0,148800
420,10,1718,3.0,786.0,1700.0,1718,2006,2,2007,230.0,337500
421,9,2772,3.0,754.0,1776.0,1794,2007,3,2007,726.0,462000
422,9,3140,3.0,820.0,1926.0,1966,2008,3,2009,860.0,485000
423,10,2402,3.0,672.0,3094.0,2402,2008,2,2008,200.0,555000
424,9,1652,2.0,840.0,1652.0,1652,2006,2,2007,300.0,325000
425,8,1600,3.0,890.0,1566.0,1600,2007,2,2007,640.0,256300
426,8,2042,3.0,1390.0,2042.0,2042,2008,2,2009,306.0,253293
427,9,2690,3.0,864.0,1365.0,1365,2009,2,2009,0.0,398800
428,9,2184,3.0,836.0,1104.0,1130,2008,2,2008,154.0,335000
429,9,2020,3.0,896.0,2020.0,2020,2008,2,2008,450.0,404000
430,10,2020,3.0,900.0,2006.0,2020,2009,2,2009,305.0,402861
431,10,2296,3.0,842.0,1722.0,1728,2008,2,2008,420.0,451950
432,10,2674,3.0,762.0,2630.0,2674,2007,2,2007,472.0,610000
433,9,2822,3.0,1020.0,1734.0,1734,2008,3,2009,424.0,582933
434,9,1736,3.0,834.0,1736.0,1736,2008,2,2008,302.0,360000
435,8,1782,3.0,932.0,1782.0,1782,2004,2,2005,238.0,296000
436,8,2520,3.0,640.0,1508.0,1508,2007,2,2007,20.0,409900
437,8,1717,3.0,908.0,1709.0,1717,2006,2,2006,250.0,255500
438,9,1743,3.0,927.0,1739.0,1743,2008,2,2008,284.0,335000
439,8,1713,3.0,856.0,1713.0,1713,2004,2,2005,262.0,274900
440,9,1531,3.0,700.0,1504.0,1531,2006,2,2006,122.0,300000
441,9,1808,3.0,850.0,1774.0,1808,2008,2,2008,285.0,324000
442,9,2224,3.0,738.0,1462.0,1462,2004,2,2005,216.0,350000
443,8,1836,3.0,862.0,1836.0,1836,2004,2,2005,42.0,280000
444,8,1629,3.0,880.0,3206.0,1629,2003,2,2004,296.0,284000
445,7,1760,2.0,583.0,1760.0,1760,2003,2,2004,418.0,269500
446,7,1502,2.0,644.0,1502.0,1502,2009,2,2009,268.0,233170
447,10,2392,3.0,968.0,2392.0,2392,2003,2,2003,922.0,386250
448,9,2452,3.0,886.0,2452.0,2452,2003,2,2003,724.0,445000
449,8,2400,3.0,730.0,1082.0,1105,2003,3,2004,186.0,290000
450,8,1606,3.0,871.0,1598.0,1606,2006,2,2006,383.0,255900
451,6,1358,2.0,484.0,1358.0,1358,2005,2,2005,240.0,213000
452,6,1306,2.0,624.0,1306.0,1306,2005,2,2005,135.0,196000
453,6,1306,2.0,624.0,1306.0,1306,2005,2,2005,135.0,184500
454,7,1358,2.0,484.0,1350.0,1358,2007,2,2008,176.0,212500
455,7,1314,2.0,626.0,1314.0,1314,2007,2,2008,166.0,230000
456,10,2492,3.0,949.0,2492.0,2492,2004,2,2005,730.0,552000
457,8,2200,3.0,685.0,2200.0,2200,2003,2,2004,470.0,382500
458,9,1884,2.0,649.0,1884.0,1884,2008,2,2009,308.0,320000
459,9,1456,2.0,539.0,1451.0,1456,2008,2,2008,500.0,248500
460,8,1712,3.0,701.0,1712.0,1712,2002,2,2003,270.0,286500
461,8,1324,2.0,550.0,1324.0,1324,2006,2,2006,176.0,254000
462,7,1405,2.0,478.0,1405.0,1405,2003,2,2003,163.0,173000
463,7,1626,2.0,474.0,764.0,764,2003,2,2004,106.0,173000
464,7,1456,2.0,390.0,728.0,728,2005,2,2005,0.0,184000
465,6,1490,2.0,392.0,745.0,745,2005,2,2006,0.0,167800
466,6,1484,2.0,390.0,742.0,742,2005,2,2005,0.0,174000
467,6,1560,2.0,400.0,684.0,684,2005,2,2005,0.0,174000
468,7,1555,3.0,660.0,1373.0,1555,2007,2,2007,130.0,174000
469,7,1569,3.0,660.0,1386.0,1569,2007,2,2007,130.0,175900
470,7,1555,2.0,430.0,1373.0,1555,2005,2,2006,16.0,192500
471,7,1504,2.0,457.0,1346.0,1504,2005,2,2006,16.0,181000
472,7,1220,2.0,397.0,1220.0,1220,2005,2,2006,16.0,180000
473,7,1145,2.0,397.0,1145.0,1145,2005,2,2006,11.0,160200
474,7,1432,2.0,432.0,716.0,716,2004,2,2005,0.0,188500
475,6,2267,2.0,390.0,1010.0,1010,2002,2,2002,0.0,200000
476,7,1374,2.0,400.0,384.0,744,2004,2,2005,0.0,170000
477,7,1630,2.0,436.0,868.0,868,2004,2,2005,200.0,189500
478,8,1419,2.0,527.0,408.0,779,2002,2,2002,0.0,184100
479,7,1594,2.0,434.0,846.0,846,2004,2,2004,0.0,195500
480,7,1489,2.0,400.0,782.0,806,2003,2,2003,0.0,192000
481,7,1342,2.0,393.0,698.0,698,2003,2,2003,0.0,178000
482,7,1314,2.0,626.0,1314.0,1314,2007,2,2008,166.0,207500
483,7,2256,2.0,554.0,952.0,980,2000,2,2000,0.0,236000
485,6,2054,2.0,390.0,992.0,1022,2000,2,2000,40.0,244000
486,7,1374,2.0,400.0,384.0,744,2004,2,2004,0.0,167000
487,6,1800,2.0,463.0,982.0,1007,2000,2,2000,16.0,179000
488,6,1514,2.0,394.0,794.0,819,2000,2,2000,0.0,190000
489,7,1430,2.0,400.0,384.0,774,1999,2,2000,0.0,156000
490,7,2312,3.0,658.0,1177.0,1223,1999,2,1999,210.0,245000
491,6,1675,2.0,502.0,841.0,892,1999,2,1999,0.0,181000
492,7,2060,2.0,390.0,992.0,1022,1999,2,1999,298.0,214000
493,7,1430,2.0,410.0,384.0,774,1999,2,1999,0.0,168000
494,8,2365,3.0,856.0,1252.0,1268,1999,2,1999,673.0,337000
495,8,2794,3.0,810.0,1462.0,1490,1995,2,1996,506.0,403000
496,8,2687,3.0,810.0,1455.0,1466,2000,2,2000,150.0,327000
497,8,2450,3.0,1069.0,1284.0,1310,1998,2,1998,731.0,340000
498,8,2612,3.0,676.0,1225.0,1276,1998,2,1999,975.0,336000
499,7,2344,3.0,889.0,1264.0,1277,1996,2,1997,921.0,265000
500,8,2063,3.0,815.0,2024.0,2063,1994,2,1995,634.0,315000
501,7,2646,3.0,656.0,1347.0,1372,1993,2,1993,256.0,260000
502,7,2061,2.0,647.0,1070.0,1094,1995,2,1996,286.0,260000
503,8,2232,2.0,623.0,1173.0,1215,1993,2,1994,372.0,263550
504,8,2448,3.0,711.0,1629.0,1686,1994,2,2005,528.0,402000
505,7,1850,2.0,467.0,973.0,979,1994,2,1994,0.0,248000
506,8,1468,3.0,898.0,1468.0,1468,2008,2,2009,72.0,244600
507,8,1696,3.0,972.0,1696.0,1696,2008,2,2008,240.0,275000
508,8,1658,3.0,726.0,1614.0,1658,2008,2,2008,294.0,257500
509,8,1578,3.0,840.0,1573.0,1578,2008,2,2009,194.0,287090
510,8,1702,3.0,844.0,1702.0,1702,2007,2,2007,260.0,275500
511,8,1432,2.0,492.0,1422.0,1432,2006,2,2006,206.0,245000
512,7,1971,2.0,689.0,1113.0,1113,2005,2,2005,0.0,253000
513,9,2490,3.0,795.0,2458.0,2490,2005,2,2006,198.0,468000
514,7,1852,2.0,644.0,900.0,932,2009,2,2009,0.0,252678
515,8,1590,2.0,676.0,768.0,786,2008,2,2008,0.0,210000
516,6,1218,2.0,676.0,1218.0,1218,2009,2,2009,0.0,208300
518,8,1314,2.0,552.0,1300.0,1314,2009,2,2009,72.0,229456
519,7,1402,2.0,625.0,1402.0,1402,2008,2,2008,0.0,229800
520,9,1530,3.0,984.0,1530.0,1530,2007,2,2008,120.0,250000
521,9,1766,3.0,478.0,1766.0,1766,2009,2,2009,162.0,370878
522,8,1448,2.0,692.0,1372.0,1448,2006,2,2007,238.0,238500
523,10,2007,3.0,812.0,1017.0,1026,2008,2,2008,160.0,310000
524,8,1795,3.0,782.0,900.0,909,2006,2,2006,121.0,270000
525,8,1953,3.0,1043.0,1082.0,1082,2005,2,2006,0.0,252000
526,7,1550,2.0,438.0,1092.0,1112,2006,2,2007,100.0,241000
527,8,1836,2.0,517.0,1836.0,1836,2008,2,2009,288.0,264500
528,7,1662,3.0,711.0,1652.0,1662,2006,2,2007,0.0,291000
529,7,2094,2.0,615.0,912.0,912,2003,2,2004,0.0,263000
530,7,1221,2.0,400.0,1221.0,1221,2004,2,2005,0.0,185000
531,7,1553,2.0,588.0,1553.0,1553,2003,2,2004,0.0,234500
532,7,1653,2.0,628.0,812.0,812,2003,2,2003,0.0,209000
533,7,1218,2.0,576.0,1218.0,1218,2007,1,2007,0.0,159000
534,7,1141,2.0,484.0,1141.0,1141,2006,1,2006,0.0,152000
535,6,1158,0.0,0.0,1158.0,1158,2004,1,2004,0.0,143500
536,7,1812,2.0,478.0,835.0,871,2004,2,2004,0.0,193000
537,8,1512,3.0,845.0,1512.0,1512,2004,2,2004,264.0,203000
539,7,1114,2.0,576.0,1114.0,1114,2004,1,2005,0.0,159000
540,5,1114,0.0,0.0,1114.0,1114,2004,1,2004,0.0,142000
541,5,1114,2.0,576.0,1114.0,1114,2003,2,2004,0.0,153000
542,7,1450,3.0,788.0,1450.0,1450,2008,2,2009,140.0,224243
543,7,2122,2.0,559.0,913.0,913,1996,2,1997,132.0,220000
544,8,1844,2.0,620.0,1844.0,1844,2005,2,2006,366.0,257000
545,7,1434,2.0,527.0,1454.0,1434,2001,2,2001,0.0,189000
546,6,1730,2.0,528.0,816.0,833,1992,2,1992,0.0,171500
547,6,1217,1.0,288.0,626.0,626,1980,1,1980,0.0,120000
548,6,1332,2.0,542.0,1332.0,1332,1990,2,1991,0.0,145000
549,7,1540,2.0,495.0,754.0,754,1994,2,1994,0.0,184000
550,6,1400,2.0,465.0,676.0,698,1986,2,1986,141.0,162000
551,6,1882,2.0,612.0,0.0,964,1981,2,1981,0.0,160000
552,4,841,1.0,294.0,721.0,841,1950,1,1950,0.0,82000
553,6,784,2.0,360.0,784.0,784,1928,1,1950,0.0,76000
554,5,980,2.0,400.0,980.0,980,1962,1,1962,0.0,110000
555,5,980,2.0,484.0,980.0,980,1977,1,1977,153.0,135000
556,5,864,2.0,732.0,864.0,864,1961,1,1961,0.0,141000
557,5,864,1.0,440.0,864.0,864,1961,1,1961,0.0,122000
558,5,1020,1.0,288.0,1024.0,1020,1965,2,1965,0.0,124100
559,5,912,1.0,300.0,912.0,912,1963,1,1995,0.0,129000
560,5,1144,1.0,264.0,864.0,1144,1961,1,1983,0.0,131400
561,5,864,1.0,360.0,864.0,864,1965,1,1965,0.0,62383
562,5,912,1.0,252.0,912.0,912,1962,1,1962,60.0,123000
563,8,2014,3.0,864.0,2014.0,2014,1980,2,1980,115.0,275000
564,7,1755,2.0,524.0,975.0,975,1991,2,2008,196.0,235000
565,7,3005,3.0,704.0,1376.0,1376,2004,2,2005,0.0,280750
566,6,1224,2.0,528.0,612.0,612,2009,2,2009,76.0,164500
567,6,1224,2.0,528.0,612.0,612,2009,2,2009,76.0,173733
568,6,1726,2.0,561.0,1726.0,1726,2008,2,2008,280.0,222000
569,6,1256,2.0,641.0,1145.0,1256,2008,1,2008,252.0,195000
570,6,1471,2.0,440.0,729.0,742,1999,2,1999,894.0,172500
571,6,1512,2.0,440.0,756.0,756,2000,2,2000,513.0,180000
572,7,1452,2.0,506.0,691.0,713,1999,2,1999,218.0,156000
573,8,1739,2.0,480.0,970.0,983,1999,2,2000,456.0,172500
574,8,1694,2.0,642.0,1694.0,1694,1977,2,2008,450.0,318750
575,8,1226,2.0,484.0,1226.0,1226,1981,1,1981,0.0,211500
576,7,1740,2.0,540.0,1740.0,1740,1981,1,1981,0.0,241600
577,8,2499,2.0,527.0,392.0,1487,1976,2,1976,200.0,180500
578,4,1620,2.0,490.0,1281.0,1620,1976,2,1993,0.0,150000
579,6,1556,2.0,441.0,727.0,829,1968,1,1968,0.0,154000
580,6,1442,2.0,615.0,1442.0,1442,1970,2,1970,571.0,185000
581,6,1489,2.0,462.0,1489.0,1489,1968,2,1968,0.0,185750
582,7,2090,2.0,484.0,1107.0,1107,1973,2,1973,240.0,200000
583,7,2067,2.0,784.0,752.0,1285,1974,2,1974,0.0,206000
584,6,1395,2.0,497.0,723.0,735,1972,1,1972,0.0,162000
585,6,2640,2.0,515.0,932.0,1271,1967,2,1997,256.0,256900
586,6,1724,2.0,480.0,1680.0,1724,1967,1,1976,359.0,197900
587,5,1336,2.0,502.0,1288.0,1336,1969,2,1969,128.0,163000
588,6,1216,1.0,336.0,1216.0,1216,1969,1,1969,200.0,113000
589,7,2288,2.0,520.0,908.0,1316,1977,1,1992,283.0,230000
590,6,1334,2.0,630.0,1350.0,1334,1977,2,1977,360.0,167900
591,7,1680,2.0,583.0,1650.0,1680,1998,2,1999,0.0,213250
592,8,1665,2.0,528.0,810.0,810,2001,2,2001,0.0,227000
593,5,864,1.0,312.0,864.0,864,1967,1,1967,0.0,130000
594,5,1568,2.0,440.0,1568.0,1568,1967,1,1967,0.0,143000
595,5,925,1.0,429.0,925.0,925,1965,1,1965,0.0,117500
596,7,2061,2.0,498.0,1165.0,1165,1974,2,1974,252.0,168500
597,6,1320,2.0,495.0,1232.0,1320,1971,2,1971,509.0,172500
598,6,1342,2.0,457.0,1372.0,1342,1967,2,1967,0.0,161500
599,4,894,2.0,396.0,894.0,894,1960,1,1960,0.0,141500
600,5,864,1.0,308.0,864.0,864,1959,1,1959,0.0,118000
601,6,864,1.0,300.0,864.0,864,1959,1,1959,0.0,127500
602,4,1362,3.0,768.0,1040.0,1362,1957,1,1957,160.0,140000
603,5,1728,2.0,576.0,1048.0,1728,1956,2,1956,70.0,177625
604,5,1776,3.0,888.0,1584.0,1776,1958,2,1958,95.0,110000
605,6,1516,2.0,472.0,1516.0,1516,1964,1,1964,180.0,167000
606,5,1313,2.0,610.0,1313.0,1313,1961,1,1995,217.0,153000
607,5,1292,2.0,520.0,1292.0,1292,1964,1,1964,144.0,145100
608,5,1154,2.0,480.0,1154.0,1154,1966,1,1966,200.0,154000
609,5,2140,2.0,549.0,744.0,825,1965,2,1965,0.0,177500
610,6,1445,2.0,645.0,1127.0,1445,1964,1,1964,115.0,158000
611,5,1041,1.0,270.0,1041.0,1041,1959,1,1959,132.0,124500
612,6,1576,2.0,368.0,1208.0,1576,1961,1,1961,90.0,174500
613,5,960,1.0,330.0,960.0,960,1955,1,1955,0.0,122000
614,4,708,0.0,0.0,420.0,708,1940,1,1950,0.0,82500
615,5,1203,1.0,352.0,709.0,979,1950,1,1950,161.0,110000
616,6,1505,2.0,505.0,1505.0,1505,1953,1,1953,90.0,149500
617,6,1691,2.0,550.0,1680.0,1691,1967,1,1967,0.0,175000
618,6,1644,2.0,418.0,1416.0,1644,1953,1,1953,238.0,167000
619,5,1050,1.0,338.0,1050.0,1050,1956,1,1956,0.0,128900
620,6,1668,1.0,271.0,856.0,1112,1950,1,2005,0.0,140000
621,5,1113,1.0,264.0,1113.0,1113,1950,1,2007,0.0,147000
622,5,1584,3.0,792.0,1584.0,1584,1967,2,1967,0.0,124000
623,6,1453,2.0,530.0,1453.0,1453,1961,2,1961,3.0,187500
624,6,1394,2.0,514.0,1394.0,1394,1963,1,1963,247.0,159000
625,6,1567,2.0,542.0,1562.0,1567,1966,2,2008,210.0,256000
626,7,1986,2.0,486.0,768.0,1186,1965,2,1990,176.0,205000
627,6,2142,1.0,509.0,896.0,1182,1968,2,1968,576.0,193500
628,6,1392,2.0,576.0,1392.0,1392,1968,1,1968,216.0,110000
629,4,1738,1.0,368.0,715.0,1281,1920,2,2007,0.0,104900
630,5,1144,1.0,286.0,1169.0,1144,1956,1,1956,164.0,150000
631,6,1478,2.0,442.0,1478.0,1478,1957,1,1957,0.0,156500
632,7,1329,2.0,441.0,1329.0,1329,1960,1,1960,128.0,176000
633,6,988,1.0,297.0,988.0,988,1959,2,1998,0.0,149500
634,6,1632,1.0,338.0,1240.0,1632,1958,2,1988,183.0,139000
635,6,1215,1.0,297.0,1215.0,1215,1958,1,1998,176.0,155000
636,5,1202,1.0,304.0,1202.0,1202,1956,1,1956,0.0,120000
637,5,1382,1.0,350.0,1382.0,1382,1955,1,1955,0.0,153000
638,4,1200,1.0,294.0,1200.0,1200,1956,1,1956,0.0,144000
639,6,1382,2.0,884.0,1362.0,1382,1962,1,1962,399.0,176000
640,5,1297,2.0,498.0,1297.0,1297,1954,1,1990,650.0,153000
641,5,1866,2.0,495.0,1866.0,1866,1958,2,1958,657.0,135000
642,6,1062,1.0,297.0,1062.0,1062,1954,1,1954,80.0,131000
643,5,1319,1.0,270.0,608.0,1319,1953,1,1953,0.0,123000
644,5,1112,2.0,480.0,631.0,1112,1951,1,1951,0.0,126000
645,4,1005,2.0,672.0,1005.0,1005,1955,1,1955,0.0,115000
646,5,1363,1.0,288.0,1008.0,1363,1951,1,2000,70.0,164900
647,5,793,1.0,240.0,793.0,793,1945,1,1950,0.0,113000
648,5,1031,1.0,230.0,1031.0,1031,1952,1,2005,0.0,145500
649,5,1210,1.0,616.0,0.0,1210,1953,1,1953,140.0,102900
650,3,1699,2.0,420.0,978.0,1014,1900,2,1970,0.0,95000
651,7,1527,2.0,410.0,699.0,801,1948,1,1999,0.0,152500
652,5,1200,1.0,246.0,1200.0,1200,1950,1,1950,0.0,129900
653,6,972,1.0,240.0,972.0,972,1948,1,2002,0.0,132000
654,3,792,1.0,366.0,792.0,792,1958,1,1958,0.0,99900
655,5,1656,1.0,180.0,660.0,808,1916,2,1987,0.0,135000
656,5,1352,2.0,720.0,676.0,676,1939,2,2006,0.0,149000
657,4,1039,1.0,281.0,405.0,717,1900,1,2003,0.0,114000
658,5,792,1.0,240.0,768.0,792,1924,1,2006,0.0,109500
659,5,1078,1.0,264.0,1054.0,1078,1925,1,1950,0.0,125000
660,4,2377,2.0,528.0,1313.0,1313,1915,2,1950,0.0,142900
661,7,1690,2.0,624.0,560.0,930,1910,2,2008,0.0,156500
662,2,599,0.0,0.0,416.0,599,1940,1,1950,0.0,59000
663,4,1374,1.0,338.0,840.0,840,1920,1,1950,0.0,105000
664,5,846,2.0,576.0,720.0,846,1920,1,1950,0.0,106000
665,3,725,1.0,320.0,630.0,725,1890,1,1998,0.0,78500
666,6,2544,3.0,907.0,1248.0,1248,1969,2,1969,480.0,190000
667,6,1380,1.0,364.0,1380.0,1380,1963,1,1963,295.0,154000
668,6,1040,2.0,480.0,1040.0,1040,1967,1,1967,0.0,163000
669,5,2634,4.0,968.0,1248.0,1338,1969,2,1969,368.0,200000
670,6,951,2.0,480.0,951.0,951,1958,1,2007,0.0,143500
671,6,1105,1.0,308.0,1105.0,1105,1957,1,1957,143.0,135000
672,5,1306,1.0,756.0,992.0,1306,1957,1,2000,0.0,153000
673,6,1478,2.0,498.0,1478.0,1478,1960,2,1960,30.0,157500
674,6,1142,1.0,384.0,160.0,1142,1958,1,1958,82.0,113500
675,5,1268,1.0,288.0,832.0,1036,1949,1,1950,0.0,133000
676,3,1040,2.0,400.0,0.0,1040,1950,2,1950,0.0,92900
677,6,1133,2.0,900.0,795.0,765,1950,1,1950,0.0,128500
678,4,1040,2.0,420.0,0.0,1040,1949,2,1950,0.0,90000
679,5,1904,1.0,240.0,1208.0,1136,1950,1,1982,0.0,138000
680,5,1041,1.0,294.0,1041.0,1041,1958,1,1958,0.0,128000
681,5,1339,1.0,294.0,1029.0,1339,1958,1,1965,0.0,139000
682,5,732,1.0,240.0,732.0,732,1952,1,1952,0.0,118900
683,5,1183,1.0,288.0,528.0,1183,1959,1,1959,0.0,138000
684,5,1148,1.0,672.0,1148.0,1148,1959,1,1959,0.0,132500
685,4,1461,1.0,384.0,832.0,832,1949,2,1996,0.0,133500
686,6,1495,2.0,576.0,864.0,1064,1948,1,1994,0.0,135000
687,6,1806,2.0,483.0,780.0,993,1964,1,1964,420.0,144750
688,5,941,2.0,564.0,941.0,941,1978,1,1978,124.0,145000
689,6,1045,1.0,264.0,1045.0,1045,1963,1,1963,0.0,127000
690,5,894,1.0,308.0,894.0,894,1962,1,1962,0.0,109500
691,6,1224,1.0,210.0,818.0,818,1926,1,2004,0.0,115000
692,5,1230,2.0,440.0,440.0,682,1910,1,1981,0.0,110000
693,6,1378,1.0,162.0,901.0,861,1935,1,1998,0.0,128900
694,6,1944,2.0,324.0,972.0,972,1910,2,1950,0.0,103500
695,5,1131,1.0,200.0,676.0,676,1941,1,1950,0.0,66500
696,5,1306,2.0,472.0,240.0,810,1910,1,2003,0.0,130000
697,5,1464,0.0,0.0,504.0,764,1910,2,2002,0.0,129000
698,5,1558,2.0,400.0,690.0,868,1939,1,1950,0.0,150000
699,5,2372,1.0,432.0,994.0,1378,1892,2,1965,0.0,107500
700,4,1701,0.0,0.0,600.0,1101,1920,2,1950,0.0,94550
701,5,1960,2.0,400.0,960.0,960,1952,2,1952,360.0,124500
702,7,1389,1.0,240.0,651.0,707,1946,1,1992,0.0,135000
703,5,1447,0.0,0.0,801.0,801,1910,1,1950,0.0,103000
704,4,936,2.0,576.0,936.0,936,1953,1,1953,0.0,93000
705,5,1328,1.0,308.0,768.0,768,1950,1,1970,0.0,129500
706,5,1387,1.0,256.0,811.0,811,1954,2,1954,0.0,93000
707,4,861,2.0,288.0,861.0,861,1920,1,1950,0.0,80000
708,2,612,1.0,308.0,0.0,612,1940,1,1950,0.0,45000
709,3,968,0.0,0.0,600.0,600,1910,1,1950,0.0,37900
710,5,886,1.0,273.0,190.0,886,1938,1,1996,0.0,91300
711,5,792,1.0,287.0,624.0,792,1923,1,1950,0.0,99500
712,4,1452,0.0,0.0,736.0,736,1920,2,2008,0.0,113000
713,4,1510,2.0,720.0,677.0,833,1910,2,1950,0.0,87500
714,5,1284,1.0,240.0,720.0,720,1947,1,1950,0.0,110000
715,5,2138,2.0,360.0,849.0,1075,1898,2,1965,0.0,106000
716,7,2640,4.0,864.0,1240.0,1320,1880,1,2003,0.0,265979
717,6,2007,1.0,357.0,917.0,1090,1900,2,1950,0.0,160000
718,6,1288,1.0,280.0,624.0,664,1917,1,2007,0.0,119000
719,8,1742,2.0,424.0,916.0,916,1882,1,1986,0.0,168000
720,4,816,0.0,0.0,624.0,816,1910,1,1950,0.0,58500
721,7,1482,2.0,324.0,650.0,832,1920,1,1988,0.0,143000
722,5,1022,1.0,280.0,1022.0,1022,1910,1,2006,0.0,85000
723,5,1869,2.0,456.0,1088.0,1188,1890,1,1996,0.0,124900
724,6,1480,1.0,207.0,972.0,1044,1920,1,1950,0.0,119000
725,6,1521,3.0,640.0,741.0,780,1910,1,2002,0.0,146500
726,4,720,0.0,0.0,720.0,720,1920,1,1950,0.0,34900
727,3,797,0.0,0.0,245.0,797,1900,1,1950,0.0,44000
728,5,1576,2.0,528.0,1324.0,1072,1923,1,2004,0.0,223500
729,6,1432,1.0,216.0,1022.0,1432,1923,1,1950,0.0,149000
730,7,1548,2.0,672.0,952.0,952,1925,2,2007,0.0,205000
731,5,1654,1.0,336.0,297.0,1001,1930,2,1982,0.0,137000
732,6,952,1.0,192.0,952.0,952,1916,1,1950,0.0,121000
733,4,1324,1.0,240.0,672.0,757,1936,1,1950,0.0,128000
734,6,1176,2.0,624.0,698.0,786,1937,1,2000,0.0,134900
735,5,1348,1.0,216.0,884.0,884,1925,1,1997,0.0,117000
736,6,1412,1.0,280.0,780.0,825,1939,1,1950,0.0,132500
737,5,1142,1.0,320.0,468.0,822,1924,1,1950,444.0,93000
738,6,904,1.0,180.0,884.0,904,1926,1,2004,0.0,119000
739,5,1301,2.0,440.0,1145.0,1301,1924,1,1950,0.0,100000
740,5,1539,2.0,576.0,927.0,1067,1936,1,1950,0.0,141500
741,4,1573,1.0,240.0,884.0,989,1935,1,1995,0.0,133000
742,2,800,0.0,0.0,264.0,800,1936,1,1950,0.0,60000
743,5,875,1.0,180.0,715.0,875,1931,1,1993,0.0,105000
744,5,995,1.0,264.0,960.0,995,1925,1,1999,0.0,115000
745,5,1582,1.0,250.0,952.0,994,1938,2,1950,0.0,150000
746,5,1072,5.0,1184.0,1072.0,1072,1925,1,1950,0.0,126500
747,6,2134,2.0,441.0,844.0,1445,1916,2,1994,0.0,214500
748,7,2019,2.0,532.0,728.0,1136,1910,1,1993,0.0,167500
749,6,1768,2.0,576.0,1048.0,1048,1915,2,1950,0.0,155000
750,7,1826,1.0,164.0,910.0,916,1915,1,2005,0.0,155000
751,7,1944,1.0,216.0,672.0,1272,1915,2,1994,0.0,179900
752,6,2229,0.0,0.0,755.0,929,1912,1,1950,0.0,104000
753,5,2128,0.0,0.0,1040.0,1088,1922,2,1950,0.0,62500
